symbol,n_methods,lasso_freq,shap_meanabs,in_meta_core,is_hub,uniprot,protein,length,uniprot_keywords,target_class,n_drugs_known,n_drugs_launched,known_drugs,repurposing_hook,known_moa,chembl_target,chembl_n_activities,n_pdb,n_pdb_holo,pdb_candidates,pdb_id,pdb_resolution,pdb_method,pdb_ligands,pocket_evidence,alphafold_plddt,decision,reason,note
SPRR1A,3.0,0.96,1.0427443981170654,True,True,P35321,Cornifin-A,89.0,Cytoplasm;Direct protein sequencing;Keratinization;Proteomics identification;Reference proteome;Repeat,Other,0.0,0.0,,False,,,0.0,0.0,0.0,,,,,,none,69.5,EXCLUDE,"Other; 无可用结构 (n_pdb=0, AF2=69.5)",
ATF3,3.0,0.85,0.1452369093894958,True,True,P18847,Cyclic AMP-dependent transcription factor ATF-3,181.0,Alternative splicing;DNA-binding;Isopeptide bond;Nucleus;Phosphoprotein;Proteomics identification;Reference proteome;Repressor,Transcription factor,1.0,1.0,ephedrine-(racemic),True,adrenergic receptor agonist,,0.0,0.0,0.0,,,,,,none,75.88,HOLD_AF2,"Transcription factor; 无合格实验结构 (n_pdb=0), AF2 pLDDT=75.9，无共晶配体",
CDHR5,3.0,0.79,0.3193367123603821,True,True,Q9HBB8,Cadherin-related family member 5,845.0,3D-structure;Alternative splicing;Calcium;Cell membrane;Cell projection;Differentiation;Glycoprotein;Membrane,Other,0.0,0.0,,False,,,0.0,1.0,1.0,6OAE,6OAE,1.9,X-ray,,holo,68.31,DOCK,"Other; PDB 6OAE (1.9 Å, X-ray); 含非聚合物配体；共 1 个候选结构",
GALNS,3.0,0.78,0.0450401045382022,True,True,P34059,N-acetylgalactosamine-6-sulfatase,522.0,3D-structure;Calcium;Direct protein sequencing;Disease variant;Disulfide bond;Dwarfism;Glycoprotein;Hydrolase,Enzyme,0.0,0.0,,False,,CHEMBL4523218,25.0,2.0,2.0,4FDI;4FDJ,4FDI,2.2,X-ray,,holo,95.75,DOCK,"Enzyme; PDB 4FDI (2.2 Å, X-ray); 含非聚合物配体；共 2 个候选结构",
TFE3,3.0,0.62,0.2036174535751342,True,True,P19532,Transcription factor E3,575.0,3D-structure;Activator;Adaptive immunity;Alternative splicing;Chromosomal rearrangement;Cytoplasm;Disease variant;DNA-binding,Transcription factor,0.0,0.0,,False,,CHEMBL4295726,5.0,1.0,1.0,7F09,7F09,2.6,X-ray,,holo,58.66,DOCK,"Transcription factor; PDB 7F09 (2.6 Å, X-ray); 含非聚合物配体；共 1 个候选结构",
MEGF11,2.0,0.71,0.0335386246442794,False,True,A6BM72,Multiple epidermal growth factor-like domains protein 11,1044.0,Alternative splicing;Cell membrane;Disulfide bond;EGF-like domain;Glycoprotein;Membrane;Proteomics identification;Reference proteome,Other,0.0,0.0,,False,,,0.0,0.0,0.0,,,,,,none,74.44,HOLD_AF2,"Other; 无合格实验结构 (n_pdb=0), AF2 pLDDT=74.4，无共晶配体",
PTPN23,2.0,0.5,0.0920150130987167,True,True,Q9H3S7,Tyrosine-protein phosphatase non-receptor type 23,1636.0,3D-structure;Cell projection;Cilium;Cilium biogenesis/degradation;Coiled coil;Cytoplasm;Cytoplasmic vesicle;Cytoskeleton,Phosphatase,0.0,0.0,,False,,,0.0,11.0,2.0,3RAU;5CRV,3RAU,1.95,X-ray,,holo,69.56,DOCK,"Phosphatase; PDB 3RAU (1.95 Å, X-ray); 含非聚合物配体；共 2 个候选结构",
SLC2A1,2.0,0.41,0.0784673988819122,True,True,P11166,"Solute carrier family 2, facilitated glucose transporter member 1",492.0,3D-structure;Acetylation;Cataract;Cell membrane;Direct protein sequencing;Disease variant;Dystonia;Epilepsy,Other,2.0,0.0,,False,,CHEMBL2535,14912.0,5.0,5.0,6THA;5EQG;5EQH;5EQI;4PYP,6THA,2.4,X-ray,,holo,90.25,DOCK,"Other; PDB 6THA (2.4 Å, X-ray); 含非聚合物配体；共 5 个候选结构",
CCDC160,2.0,0.39,0.0344662107527256,True,True,A6NGH7,Coiled-coil domain-containing protein 160,325.0,Coiled coil;Proteomics identification;Reference proteome,Other,0.0,0.0,,False,,,0.0,0.0,0.0,,,,,,none,72.31,HOLD_AF2,"Other; 无合格实验结构 (n_pdb=0), AF2 pLDDT=72.3，无共晶配体",
SRRM4,2.0,0.38,0.0796927362680435,True,True,A7MD48,Serine/arginine repetitive matrix protein 4,611.0,Differentiation;mRNA processing;mRNA splicing;Nucleus;Phosphoprotein;Proteomics identification;Reference proteome;RNA-binding,Other,0.0,0.0,,False,,,0.0,0.0,0.0,,,,,,none,47.88,EXCLUDE,"Other; 无可用结构 (n_pdb=0, AF2=47.88)",
